country,subdivision,type,million_60kgs_bag,year,nonbear_mill_trees,bear_mill_trees,nonbear_thous_hect,bear_thous_hect,trees_hect_bear,trees_hect_nonbear,avg_unemp_perc
Brazil,Parana,Arabica,1.0,2015,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,5.925
Brazil,Minas Gerais,Arabica,25.3,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,11.2
Brazil,Espirito Santo,Arabica,3.1,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,12.375
Brazil,Espirito Santo,Robusta,9.9,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,12.375
Brazil,Sao Paulo,Arabica,4.3,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,12.45
Brazil,Parana,Arabica,1.2,2016,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,8.3
Brazil,Minas Gerais,Arabica,32.5,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,12.25
Brazil,Espirito Santo,Arabica,3.8,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,13.275
Brazil,Espirito Santo,Robusta,6.7,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,13.275
Brazil,Sao Paulo,Arabica,5.9,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,13.525
Brazil,Parana,Arabica,1.1,2017,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,9.05
Brazil,Minas Gerais,Arabica,28.3,2018,,,,,,,10.775
Brazil,Espirito Santo,Arabica,3.3,2018,,,,,,,11.675
Brazil,Espirito Santo,Robusta,7.3,2018,,,,,,,11.675
Brazil,Sao Paulo,Arabica,4.3,2018,,,,,,,13.45
Brazil,Parana,Arabica,1.3,2018,,,,,,,8.85
Brazil,Minas Gerais,Arabica,34.2,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,10.1
Brazil,Espirito Santo,Arabica,4.7,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,11.1
Brazil,Espirito Santo,Robusta,10.9,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,11.1
Brazil,Sao Paulo,Arabica,6.5,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,12.55
Brazil,Parana,Arabica,1.2,2019,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,8.65
Brazil,Minas Gerais,Arabica,29.1,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,12.75
Brazil,Espirito Santo,Arabica,3.9,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,12.875
Brazil,Espirito Santo,Robusta,12.9,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,12.875
Brazil,Sao Paulo,Arabica,5.4,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,14.1
Brazil,Parana,Arabica,1.1,2020,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,9.55
Brazil,Minas Gerais,Arabica,34.8,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,11.65
Brazil,Espirito Santo,Arabica,4.8,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,11.125
Brazil,Espirito Santo,Robusta,14.3,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,11.125
Brazil,Sao Paulo,Arabica,6.4,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,13.425
Brazil,Parana,Arabica,1.1,2021,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,8.35
Brazil,Minas Gerais,Arabica,24.5,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,7.15
Brazil,Espirito Santo,Arabica,3.7,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,7.925
Brazil,Espirito Santo,Robusta,15.7,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,7.925
Brazil,Sao Paulo,Arabica,4.6,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,9.075
Brazil,Parana,Arabica,1.0,2022,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,5.825
Brazil,Minas Gerais,Arabica,28.5,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
Brazil,Espirito Santo,Arabica,4.4,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
Brazil,Espirito Santo,Robusta,16.6,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
Brazil,Sao Paulo,Arabica,5.1,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
Brazil,Parana,Arabica,0.8,2023,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,
